а̀-ля́	а̀-л'а́
ано́нс	ано́нс
анома́лия	анама́л'ии
анома́льно	анама́л'на
анома́льный	анама́л'ныj
анони́м	анан'и́м
анони́мно	анан'и́мна
анони́мность	анан'и́мнас'т'
анони́мный	анан'и́мныj
анонси́ровать	анан'с'и́рават'
анса́мбль	анса́мбл'
антагони́зм	антаган'и́зм
антагони́ст	антаган'и́ст
антаркти́ческий	антаркт'и́ч'иск'иj
анте́нна	антэ́нна
анте́нный	антэ́нныj
анти́христ	ан'т'и́хр'ист
анти́чность	ан'т'и́ч'нас'т'
анти́чный	ан'т'и́ч'ныj
антибио́тик	ан'т'иб'ио́т'ик
антивое́нный	ан'т'иваjэ́нныj
антиге́н	ан'т'иг'э́н
антидо́т	ан'т'идо́т
антиква́рный	ан'т'иква́рныj
антиквариа́т	ан'т'иквар'иа́т
антило́па	ан'т'ило́па
антипо́д	ан'т'ипо́т
антифаши́ст	ан'т'ифашы́ст
антифаши́стский	ан'т'ифашы́сск'иj
антифри́з	ан'т'ифр'и́с
антицикло́н	ан'т'ицыкло́н
анто́нов	анто́наф
антоло́гия	антало́г'ии
антраци́т	антрацы́т
антресо́ль	антр'исо́л'
антропо́лог	антрапо́лак
антропогене́з	антрапаг'инэ́с
антрополо́гия	антрапало́г'ии
антропомо́рфный	антрапамо́рфныj
антура́ж	антура́ш
анфа́с	анфа́с
анча́р	ан'ч'а́р
аншла́г	аншла́к
апа́тия	апа́т'ии
апартеи́д	апартыи́т
апати́т	апат'и́т
апелли́рование	ап'ил'и́раван'ии
апелли́ровать	ап'ил'и́рават'
апелля́ция	ап'ил'а́цыи
апелляцио́нный	ап'ил'ицыо́нныj
апельси́н	ап'ил'с'и́н
апельси́новый	ап'ил'с'и́навыj
аперту́ра	ап'ирту́ра
аплоди́ровать	аплад'и́рават'
аплодисме́нты	аплад'исм'э́нты
апо́стол	апо́стал
апоге́й	апаг'э́j
апока́липсис	апака́л'ипс'ис
аполло́н	апало́н
апологе́т	апалаг'э́т
апостро́ф	апастро́ф
апофео́з	апаф'ио́с
апоце́нтр	апацэ́нтр
аппара́т Мо́рзе	апара́т мо́рзы
аппара́тный	апара́тныj
аппарату́ра	апарату́ра
аппе́ндикс	ап'э́н'д'икс
аппендици́т	ап'ин'д'ицы́т
аппети́т	ап'ит'и́т
аппети́тно	ап'ит'и́тна
аппети́тный	ап'ит'и́тныj
апре́ль	апр'э́л'
апре́льский	апр'э́л'ск'иj
априо́ри	апр'ио́р'и
апроба́ция	апраба́цыи
апте́ка	апт'э́ка
апте́карь	апт'э́кар'
апте́чка	апт'э́ч'ка
апте́чный	апт'э́ч'ныj
ара́б	ара́п
ара́бский	ара́пск'иj
ара́хис	ара́х'ис
арави́йский	арав'и́jск'иj
аранжиро́вка	аранжыро́фка
арбале́т	арбал'э́т
арби́тр	арб'и́тр
арбитра́ж	арб'итра́ш
арбитра́жный	арб'итра́жныj
арбу́з	арбу́с
аргенти́нец	арг'ин'т'и́н'иц
арго́	арго́
арго́н	арго́н
аргуме́нт	аргум'э́нт
аргументи́ровать	аргум'ин'т'и́рават'
аре́на	ар'э́на
аре́нда	ар'э́нда
аре́ндный	ар'э́ндныj
аре́ст	ар'э́ст
ареа́л	ар'иа́л
аренда́тор	ар'инда́тар
арендова́ть	ар'индава́т'
ареста́нт	ар'иста́нт
аресто́вывать	ар'исто́выват'
арестова́ть	ар'истава́т'
аристокра́т	ар'истакра́т
аристокра́тия	ар'истакра́т'ии
аристокра́тка	ар'истакра́тка
аритми́я	ар'итм'и́и
арифме́тика	ар'ифм'э́т'ика
арка́д	арка́т
арка́да	арка́да
арка́дий	арка́д'иj
арка́н	арка́н
аркти́ческий	аркт'и́ч'иск'иj
арма́да	арма́да
арма́та	арма́та
армату́ра	армату́ра
армату́рный	армату́рныj
арме́йский	арм'э́jск'иj
арми́рованный	арм'и́раваныj
армя́нский	арм'а́нск'иj
армяни́н	арм'ин'и́н
арома́т	арама́т
арома́тный	арама́тныj
арсена́л	арс'ина́л
арте́ль	арт'э́л'
арте́рия	артэ́р'ии
артефа́кт	арт'ифа́кт
арти́ст	арт'и́ст
арти́стка	арт'и́стка
артикули́ровать	арт'икул'и́рават'
артилле́рия	арт'ил'э́р'ии
артиллери́йский	арт'ил'ир'и́jск'иj
артисти́чно	арт'ис'т'и́ч'на
артисти́чный	арт'ис'т'и́ч'ныj
артри́т	артр'и́т
арха́ика	арха́ика
арха́нгел	арха́нг'ил
арха́нгельский	арха́нг'ил'ск'иj
архаи́чность	архаи́ч'нас'т'
архаи́чный	архаи́ч'ныj
архаиза́ция	архаиза́цыи
архео́лог	арх'ио́лак
археоло́гия	арх'иало́г'ии
археологи́ческий	арх'иалаг'и́ч'иск'иj
археопте́рикс	арх'иаптэ́р'икс
архети́п	арх'ит'и́п
архи́в	арх'и́ф
архиепи́скоп	арх'иип'и́скап
архиере́й	арх'иир'э́j
архимандри́т	арх'имандр'и́т
архипела́г	арх'ип'ила́к
архите́ктор	арх'ит'э́ктар
архитекту́ра	арх'ит'икту́ра
архитекту́рный	арх'ит'икту́рныj
асексуа́льность	ас'иксуа́л'нас'т'
асимметри́чный	ас'им'итр'и́ч'ныj
асимметри́я	ас'им'итр'и́и
асинхро́нный	ас'инхро́нныj
аске́р	аск'э́р
аске́ров	аск'э́раф
аске́т	аск'э́т
аскети́зм	аск'ит'и́зм
асоциа́льный	асацыа́л'ныj
аспе́кт	асп'э́кт
аспира́нт	асп'ира́нт
аспира́нтка	асп'ира́нтка
аспиранту́ра	асп'иранту́ра
аспири́н	асп'ир'и́н
ассамбле́я	асамбл'э́и
ассисте́нт	ас'ис'т'э́нт
ассисте́нтка	ас'ис'т'э́нтка
ассорти́	асарт'и́
ассортиме́нт	асарт'им'э́нт
ассоциа́ция	асацыа́цыи
ассоциати́вный	асацыат'и́вныj
ассоции́рованный	асацыи́раваныj
ассоции́ровать	асацыи́рават'
ассоции́роваться	асацыи́раваца
астеро́ид	астыро́ит
астро́лог	астро́лак
астроло́гия	астрало́г'ии
астрологи́ческий	астралаг'и́ч'иск'иj
астрона́вт	астрана́фт
астроно́м	астрано́м
астроно́мия	астрано́м'ии
астрономи́ческий	астранам'и́ч'иск'иj
асфа́льт	асфа́л'т
ата́ка	ата́ка
атави́зм	атав'и́зм
атакова́ть	атакава́т'
атама́н	атама́н
атама́нов	атама́наф
атеи́зм	атыи́зм
атеи́ст	атыи́ст
ателье́	атыл'jэ́
атла́нт	атла́нт
атла́нта	атла́нта
атла́с	атла́с
атла́сов	атла́саф
атланти́ческий	атлан'т'и́ч'иск'иj
атле́т	атл'э́т
атле́тика	атл'э́т'ика
атмосфе́ра	атмасф'э́ра
атмосфе́рный	атмасф'э́рныj
ато́лл	ато́л
ато́мный	ато́мныj
атома́рный	атама́рныj
атрибу́т	атр'ибу́т
атропи́н	атрап'и́н
атрофи́роваться	атраф'и́раваца
атрофи́я	атраф'и́и
атташе́	аташэ́
аттеста́т	ат'иста́т
аттеста́ция	ат'иста́цыи
аттракцио́н	аттракцыо́н
ау́	ау́
ау́л	ау́л
ауди́тор	ауд'и́тар
аудито́рия	ауд'ито́р'ии
аукцио́н	аукцыо́н
аукцио́нный	аукцыо́нныj
аутенти́чность	аутын'т'и́ч'нас'т'
аутенти́чный	аутын'т'и́ч'ныj
аутса́йдер	аутса́jдыр
афга́нский	авга́нск'иj
афе́ра	аф'э́ра
афери́ст	аф'ир'и́ст
афи́ша	аф'и́ша
афиши́ровать	аф'ишы́рават'
афо́нский	афо́нск'иj
афори́зм	афар'и́зм
африка́нец	афр'ика́н'иц
африка́нский	афр'ика́нск'иj
ахти́	ахт'и́
ацети́лен	ацыт'и́л'ин
ацетиле́н	ацыт'ил'э́н
ацето́н	ацыто́н
аэро́бус	аыро́бус
аэродро́м	аырадро́м
аэрозо́ль	аыразо́л'
аэропла́н	аырапла́н
аэропо́рт	аырапо́рт
аэроста́т	аыраста́т
аэрофло́т	аырафло́т
ба̀ба-яга́	ба̀ба-jига́
ба́	ба́
ба́ба	ба́ба
ба́бах	ба́бах
ба́бий	ба́б'иj
ба́бка	ба́пка
ба́бкин	ба́пк'ин
ба́бочка	ба́бач'ка
ба́бушка	ба́бушка
ба́бушкин	ба́бушк'ин
ба́ев	ба́иф
ба́за	ба́за
ба́зис	ба́з'ис
ба́зисный	ба́з'исныj
ба́зовый	ба́завыj
ба́й	ба́j
ба́йка	ба́jка
ба́йков	ба́jкаф
ба́к	ба́к
ба́ку	ба́ку
ба́л	ба́л
ба́лка	ба́лка
ба́лл	ба́л
ба́мпер	ба́мп'ир
ба́нда	ба́нда
ба́нджо	ба́нджа
ба́нить	ба́н'ит'
ба́нк	ба́нк
ба́нковский	ба́нкафск'иj
ба́нный	ба́нныj
ба́ночка	ба́нач'ка
ба́нт	ба́нт
ба́нтик	ба́н'т'ик
