а̀-ля́	а̀-л'а́
плавка́	плафка́
плавле́ние	плавл'э́н'ии
плавни́к	плавн'и́к
плаву́честь	плаву́ч'ис'т'
плаву́чий	плаву́ч'иj
плагиа́т	плаг'иа́т
плазмо́дий	плазмо́д'иj
плака́т	плака́т
плане́та	план'э́та
планета́рий	план'ита́р'иj
планета́рный	план'ита́рныj
плането́ид	план'ито́ит
плането́лог	план'ито́лак
плани́рование	план'и́раван'ии
плани́ровать	план'и́рават'
планиро́вка	план'иро́фка
планиро́вщик	план'иро́фш':ик
планирова́ть	план'ирава́т'
планкто́н	планкто́н
планоме́рно	планам'э́рна
планта́ция	планта́цыи
планше́т	планшэ́т
планше́тный	планшэ́тныj
пласти́на	плас'т'и́на
пласти́нка	плас'т'и́нка
пласти́нчатый	плас'т'и́н'ч'итыj
пласти́ческий	плас'т'и́ч'иск'иj
пласти́чность	плас'т'и́ч'нас'т'
пласти́чный	плас'т'и́ч'ныj
пластили́н	плас'т'ил'и́н
пластма́сса	пластма́сса
пластма́ссовый	пластма́ссавыj
плати́ть	плат'и́т'
плато́	плато́
плато́к	плато́к
платфо́рма	платфо́рма
платфо́рменный	платфо́рм'иныj
платё́ж	плат'о́ш
платё́жный	плат'о́жныj
плафо́н	плафо́н
плацда́рм	плад͡зда́рм
плаче́вно	плач'э́вна
плашмя́	плашм'а́
пле́вел	пл'э́в'ил
пле́д	пл'э́т
пле́мя	пл'э́м'и
пле́н	пл'э́н
пле́нник	пл'э́н'н'ик
пле́нум	пл'э́нум
пле́сень	пл'э́с'ин'
пле́ть	пл'э́т'
плебисци́т	пл'иб'исцы́т
плева́ть	пл'ива́т'
плева́ться	пл'ива́ца
плево́к	пл'иво́к
племенно́й	пл'им'инно́j
племя́нник	пл'им'а́н'н'ик
племя́нница	пл'им'а́н'н'ица
плесну́ть	пл'исну́т'
плести́	пл'ис'т'и́
плести́сь	пл'ис'т'и́с'
плете́ние	пл'ит'э́н'ии
плете́нь	пл'ит'э́н'
плечево́й	пл'ич'иво́j
плечо́	пл'ич'о́
плея́да	пл'иjа́да
пли́нтус	пл'и́нтус
пли́с	пл'и́с
пли́тка	пл'и́тка
пли́точный	пл'и́тач'ныj
плита́	пл'ита́
пло̀доовощно́й	пло̀дааваш':но́j
пло́в	пло́ф
пло́д	пло́т
пло́мба	пло́мба
пло́ский	пло́ск'иj
пло́скость	пло́скас'т'
пло́т	пло́т
пло́тник	пло́т'н'ик
пло́тницкий	пло́т'н'ицк'иj
пло́тно	пло́тна
пло́тность	пло́тнас'т'
пло́тный и́ндекс	пло́тныj и́ндыкс
пло́ть	пло́т'
пло́хо	пло́ха
пло́щадь	пло́ш':ит'
плове́ц	плав'э́ц
пловчи́ха	плафч'и́ха
плоди́ть	плад'и́т'
плоди́ться	плад'и́ца
плодови́тость	пладав'и́тас'т'
плодови́тый	пладав'и́тыj
плодоноси́ть	пладанас'и́т'
плодоро́дие	пладаро́д'ии
плодотво́рно	пладатво́рна
пломби́р	пламб'и́р
плоского́рье	пласкаго́р'jи
плоскогу́бцы	пласкагу́пцы
плотва́	платва́
плоти́на	плат'и́на
плохо́й	плахо́j
плохова́то	плахава́та
площа́дка	плаш':а́тка
плу́г	плу́к
плу́т	плу́т
плуто́ний	плуто́н'иj
плы́ть	плы́т'
плю́нуть	пл'у́нут'
плю́с	пл'у́с
плю́совой	пл'у́саваj
плю́шевый	пл'у́шывыj
плю́шка	пл'у́шка
плю́щ	пл'у́ш':
плюрали́зм	пл'урал'и́зм
плюсово́й	пл'усаво́j
пля́ж	пл'а́ш
пля́жный	пл'а́жныj
пля́с	пл'а́с
пляса́ть	пл'иса́т'
плё́нка	пл'о́нка
пневма́тика	пн'ивма́т'ика
пневмати́ческий	пн'ивмат'и́ч'иск'иj
пневмони́я	пн'ивман'и́и
пни́	пн'и́
пну́ть	пну́т'
по̀лиэтиле́н	по̀л'иыт'ил'э́н
по̀слеза́втра	по̀сл'иза́фтра
по̀слеродово́й	по̀сл'ирадаво́j
по̀стпре́д	по̀стпр'э́т
по̀стскри́птум	по̀сскр'и́птум
по̀стфа́ктум	по̀стфа́ктум
по̀тоотделе́ние	по̀таад'д'ил'э́н'ии
по́	по́
по́боку	по́баку
по́вар	по́вар
по́верху	по́в'ирху
по́весть	по́в'ис'т'
по́вод	по́ват
по́греб	по́гр'ип
по́д	по́т
по́дать	по́дат'
по́двиг	по́дв'ик
по́дданство	по́дданства
по́диум	по́д'иум
по́дкуп	по́ткуп
по́длинник	по́дл'ин'ик
по́длинно	по́дл'ина
по́длинность	по́дл'инас'т'
по́длинный	по́дл'иныj
по́дло	по́дла
по́длость	по́длас'т'
по́длый	по́длыj
по́дпись	по́тп'ис'
по́езд	по́ист
по́за	по́за
по́здний	по́з'н'иj
по́здно	по́зна
по́иск	по́иск
по́йло	по́jла
по́йма	по́jма
по́йнтер	по́jн'т'ир
по́кер	по́к'ир
по́керный	по́к'ирныj
по́л	по́л
по́лдень	по́лд'ин'
по́лдник	по́лд'н'ик
по́ле	по́л'и
по́лзать	по́лзат'
по́лис	по́л'ис
по́лк	по́лк
по́лка	по́лка
по́лно	по́лна
по́лностью	по́лнас'т'jу
по́лночь	по́лнач'
по́лный	по́лныj
по́лого	по́лава
по́лоз	по́лас
по́лозов	по́лазаф
по́лость	по́лас'т'
по́лоть	по́лат'
по́лочка	по́лач'ка
по́лый	по́лыj
по́льза	по́л'за
по́льзование	по́л'заван'ии
по́льзователь	по́л'зават'ил'
по́льзоваться	по́л'заваца
по́льский	по́л'ск'иj
по́люс	по́л'ус
по́люшко	по́л'ушка
по́месь	по́м'ис'
по́мнится	по́мн'ица
по́мнить	по́мн'ит'
по́мочь	по́мач'
по́мощь	по́маш':
по́мпа	по́мпа
по́ни	по́н'и
по́нчик	по́н'ч'ик
по́нчо	по́н'ч'и
по́п	по́п
по́пка	по́пка
по́прище	по́пр'иш':и
по́просту	по́прасту
по́пусту	по́пусту
по́ра	по́ра
по́ристость	по́р'истас'т'
по́ристый	по́р'истыj
по́рка	по́рка
по́ровну	по́равну
по́рознь	по́раз'н'
по́рой	по́раj
по́рох	по́рах
по́рочный	по́рач'ныj
по́рою	по́раjу
по́рт	по́рт
по́ртер	по́ртыр
по́ртить	по́рт'ит'
по́ртиться	по́рт'ица
по́рто	по́рта
по́ручень	по́руч'ин'
по́рция	по́рцыи
по́рча	по́рч'и
по́ршень	по́ршын'
по́сле	по́сл'и
по́слушник	по́слушн'ик
по́сох	по́сах
по́ст	по́ст
по́стный	по́сныj
по́суху	по́суху
по́т	по́т
по́том	по́там
по́тчевать	по́т'ч'иват'
по́хороны	по́хараны
по́чва	по́ч'ва
по́черк	по́ч'ирк
по́чка	по́ч'ка
по́чта	по́ч'та
по́шлина	по́шл'ина
по́шлость	по́шлас'т'
по́шлый	по́шлыj
по́яс астеро́идов	по́ис астыро́идаф
побалова́ть	пабалава́т'
побалова́ться	пабалава́ца
побе́г	паб'э́к
побе́гать	паб'э́гат'
побе́да	паб'э́да
побе́дно	паб'э́дна
побе́дный	паб'э́дныj
победи́тель	паб'ид'и́т'ил'
победи́тельница	паб'ид'и́т'ил'н'ица
победи́ть	паб'ид'и́т'
победоно́сно	паб'идано́сна
побежа́ть	паб'ижа́т'
побежда́ть	паб'ижда́т'
побере́жье	паб'ир'э́жjи
побере́чь	паб'ир'э́ч'
побесе́довать	паб'ис'э́дават'
побеспоко́ить	паб'испако́ит'
побеспоко́иться	паб'испако́ица
поби́ть	паб'и́т'
побира́ться	паб'ира́ца
поблагодари́ть	паблагадар'и́т'
побли́зости	пабл'и́зас'т'и
побо́и	пабо́и
побо́ище	пабо́иш':и
побо́чный	пабо́ч'ныj
поболта́ть	пабалта́т'
поборо́ть	пабаро́т'
поборо́ться	пабаро́ца
побри́ть	пабр'и́т'
побри́ться	пабр'и́ца
поброди́ть	пабрад'и́т'
побуди́ть	пабуд'и́т'
побужда́ть	пабужда́т'
побужде́ние	пабужд'э́н'ии
побы́ть	пабы́т'
побыва́ть	пабыва́т'
пова́льно	пава́л'на
повали́ть	павал'и́т'
поваля́ться	павал'а́ца
поварско́й	паварско́j
пове́дать	пав'э́дат'
пове́ргнуть	пав'э́ргнут'
пове́рить	пав'э́р'ит'
пове́рх	пав'э́рх
пове́рхностно	пав'э́рхнасна
пове́рхностность	пав'э́рхнаснас'т'
пове́рхностный	пав'э́рхнасныj
пове́рхность	пав'э́рхнас'т'
пове́рь	пав'э́р'
пове́рье	пав'э́р'jи
пове́рьте	пав'э́р'т'и
пове́сить	пав'э́с'ит'
пове́ситься	пав'э́с'ица
пове́стка	пав'э́стка
пове́шение	пав'э́шын'ии
поведе́ние	пав'ид'э́н'ии
повезти́	пав'ис'т'и́
повелева́ть	пав'ил'ива́т'
повели́тель	пав'ил'и́т'ил'
поверну́ть	пав'ирну́т'
поверну́ться	пав'ирну́ца
поверте́ть	пав'ирт'э́т'
повесели́ть	пав'ис'ил'и́т'
повесели́ться	пав'ис'ил'и́ца
повествова́ние	пав'иствава́н'ии
повествова́тельный	пав'иствава́т'ил'ныj
повзросле́ть	павзрасл'э́т'
пови́дло	пав'и́дла
пови́нность	пав'и́ннас'т'
пови́снуть	пав'и́снут'
повида́ть	пав'ида́т'
повида́ться	пав'ида́ца
повинова́ться	пав'инава́ца
повисе́ть	пав'ис'э́т'
повле́чь	павл'э́ч'
повлия́ть	павл'иjа́т'
пово́зка	паво́ска
поводи́ть	павад'и́т'
поводо́к	павадо́к
повоева́ть	паваива́т'
повози́ться	паваз'и́ца
поволнова́ться	павалнава́ца
повора́чивать	павара́ч'иват'
повора́чиваться	павара́ч'иваца
поворо́т	паваро́т
поворо́тный	паваро́тныj
поворча́ть	паварч'а́т'
повреди́ть	павр'ид'и́т'
поврежда́ть	павр'ижда́т'
поврежде́ние	павр'ижд'э́н'ии
повремени́ть	павр'им'ин'и́т'
повседне́вно	пафс'ид'н'э́вна
повседне́вность	пафс'ид'н'э́внас'т'
повседне́вный	пафс'ид'н'э́вныj
повсеме́стно	пафс'им'э́сна
повсеме́стный	пафс'им'э́сныj
повста́нец	пафста́н'иц
повстреча́ть	пафстр'ич'а́т'
повстреча́ться	пафстр'ич'а́ца
повсю́ду	пафс'у́ду
повто́р	пафто́р
повто́рно	пафто́рна
повто́рный	пафто́рныj
повторе́ние	пафтар'э́н'ии
повтори́ть	пафтар'и́т'
повтори́ться	пафтар'и́ца
повторя́емость	пафтар'а́имас'т'
повторя́ть	пафтар'а́т'
повторя́ться	пафтар'а́ца
повы́сить	павы́с'ит'
повы́ситься	павы́с'ица
повы́шенный	павы́шыныj
повыша́ть	павыша́т'
повыша́ться	павыша́ца
повыше́ние	павышэ́н'ии
повя́зка	пав'а́ска
пога́ный	пага́ныj
пога́снуть	пага́снут'
погада́ть	пагада́т'
погаси́ть	пагас'и́т'
погаша́ть	пагаша́т'
погаша́ться	пагаша́ца
погаше́ние	пагашэ́н'ии
поги́бель	паг'и́б'ил'
поги́бнуть	паг'и́бнут'
поги́бший	паг'и́пшыj
погиба́ть	паг'иба́т'
погла́дить	пагла́д'ит'
поглазе́ть	паглаз'э́т'
поглоти́тель	паглат'и́т'ил'
поглоти́ть	паглат'и́т'
поглоща́ть	паглаш':а́т'
поглоща́ться	паглаш':а́ца
поглоще́ние	паглаш':э́н'ии
погля́дывать	пагл'а́дыват'
погляде́ть	пагл'ид'э́т'
погну́ть	пагну́т'
пого́да	паго́да
пого́дный	паго́дныj
пого́жий	паго́жыj
пого́н	паго́н
пого́нный	паго́нныj
пого́нщик	паго́н'ш':ик
пого́ня	паго́н'и
погово́рка	пагаво́рка
поговори́ть	пагавар'и́т'
поголо́вно	пагало́вна
поголо́вье	пагало́в'jи
погоня́ть	паган'а́т'
погости́ть	пагас'т'и́т'
пограни́чник	пагран'и́ч'н'ик
пограни́чный	пагран'и́ч'ныj
погре́ть	пагр'э́т'
погре́ться	пагр'э́ца
погре́шность	пагр'э́шнас'т'
погреба́льный	пагр'иба́л'ныj
погребе́ние	пагр'иб'э́н'ии
погро́м	пагро́м
погру́зка	пагру́ска
погру́зчик	пагру́ш':ик
погружа́ть	пагружа́т'
погружа́ться	пагружа́ца
погруже́ние	пагружэ́н'ии
погрузи́ть	пагруз'и́т'
погрузи́ться	пагруз'и́ца
погрусти́ть	пагрус'т'и́т'
погря́знуть	пагр'а́знут'
погуби́ть	пагуб'и́т'
погуля́ть	пагул'а́т'
пода́вленность	пада́вл'инас'т'
пода́вно	пада́вна
пода́гра	пада́гра
пода́рок	пада́рак
пода́рочек	пада́рач'ик
пода́рочный	пада́рач'ныj
пода́ть	пада́т'
пода́ться	пада́ца
пода́ча	пада́ч'и
подава́ть	падава́т'
подава́ться	падава́ца
подави́ть	падав'и́т'
подави́ться	падав'и́ца
подавле́ние	падавл'э́н'ии
подавля́ть	падавл'а́т'
подари́ть	падар'и́т'
подба́дривать	падба́др'иват'
подби́ть	падб'и́т'
подбира́ть	падб'ира́т'
подбира́ться	падб'ира́ца
подбо́р	падбо́р
подбо́рка	падбо́рка
подбодри́ть	падбадр'и́т'
подборо́док	падбаро́дак
подбра́сывать	падбра́сыват'
подбро́сить	падбро́с'ит'
подва́л	падва́л
подва́льный	падва́л'ныj
подве́домственность	падв'э́дамств'инас'т'
подве́домственный	падв'э́дамств'иныj
подве́ргнуть	падв'э́ргнут'
подве́ргнуться	падв'э́ргнуца
подве́рженность	падв'э́ржынас'т'
подве́рженный	падв'э́ржыныj
подве́с	падв'э́с
подве́сить	падв'э́с'ит'
подве́ска	падв'э́ска
подве́шивать	падв'э́шыват'
подведе́ние	падв'ид'э́н'ии
подвезти́	падв'ис'т'и́
подверга́ть	падв'ирга́т'
подверга́ться	падв'ирга́ца
подвесно́й	падв'исно́j
подвести́	падв'ис'т'и́
подви́гать	падв'и́гат'
подви́гаться	падв'и́гаца
подви́гнуть	падв'и́гнут'
подви́д	падв'и́т
подви́жность	падв'и́жнас'т'
подви́жный	падв'и́жныj
подви́нуть	падв'и́нут'
подви́нуться	падв'и́нуца
подвига́ть	падв'ига́т'
подвига́ться	падв'ига́ца
подво́дка	падво́тка
подво́дный	падво́дныj
подво́з	падво́с
подво́рье	падво́р'jи
подво́х	падво́х
подводи́ть	падвад'и́т'
подвози́ть	падваз'и́т'
подворо́тня	падваро́т'н'и
подгада́ть	падгада́т'
подгля́дывать	падгл'а́дыват'
подгляде́ть	падгл'ид'э́т'
подго́нка	падго́нка
подго́рный	падго́рныj
подголо́вник	падгало́вн'ик
подгоня́ть	падган'а́т'
подгота́вливать	падгата́вл'иват'
подгото́вить	падгато́в'ит'
подгото́виться	падгато́в'ица
подгото́вка	падгато́фка
подготови́тельный	падгатав'и́т'ил'ныj
подгру́ппа	падгру́ппа
подгружа́ть	падгружа́т'
подгрузи́ть	падгруз'и́т'
подда́ть	падда́т'
подда́ться	падда́ца
поддава́ться	паддава́ца
поддавки́	паддафк'и́
подде́лать	пад'д'э́лат'
подде́лка	пад'д'э́лка
подде́лывать	пад'д'э́лыват'
подде́льный	пад'д'э́л'ныj
подде́рживать	пад'д'э́ржыват'
подде́ржка	пад'д'э́ршка
подде́ть	пад'д'э́т'
поддева́ть	пад'д'ива́т'
поддержа́ние	пад'д'иржа́н'ии
поддержа́ть	пад'д'иржа́т'
поддо́н	паддо́н
поде́йствовать	пад'э́jствават'
поде́лать	пад'э́лат'
поде́лка	пад'э́лка
подели́ть	пад'ил'и́т'
подели́ться	пад'ил'и́ца
подержа́ть	пад'иржа́т'
подешеве́ть	пад'ишыв'э́т'
поджа́ривать	паджа́р'иват'
поджа́рить	паджа́р'ит'
подже́чь	паджэ́ч'
поджига́ть	паджыга́т'
поджида́ть	паджыда́т'
поджо́г	паджо́к
подзаголо́вок	падзагало́вак
подзарабо́тать	падзарабо́тат'
подзащи́тный	падзаш':и́тныj
подзе́мка	падз'э́мка
подзе́мный	падз'э́мныj
подземе́лье	падз'им'э́л'jи
поди́	пад'и́
подиви́ться	пад'ив'и́ца
подка́рмливать	патка́рмл'иват'
подкача́ть	паткач'а́т'
подки́нуть	патк'и́нут'
подкла́дка	паткла́тка
подкла́дывать	паткла́дыват'
подкла́сс	паткла́с
подключа́ть	паткл'уч'а́т'
подключа́ться	паткл'уч'а́ца
подключе́ние	паткл'уч'э́н'ии
подключи́ть	паткл'уч'и́т'
подключи́ться	паткл'уч'и́ца
подко́ва	патко́ва
подко́жный	патко́жныj
подко́п	патко́п
подконтро́льный	паткантро́л'ныj
подкра́дываться	паткра́дываца
подкра́сить	паткра́с'ит'
подкра́сться	паткра́сца
подкрепи́ть	паткр'ип'и́т'
подкрепи́ться	паткр'ип'и́ца
подкрепле́ние	паткр'ипл'э́н'ии
подкрути́ть	паткрут'и́т'
подкупа́ть	паткупа́т'
подкупи́ть	паткуп'и́т'
подле́ц	падл'э́ц
подлежа́ть	падл'ижа́т'
подлета́ть	падл'ита́т'
подлете́ть	падл'ит'э́т'
подли́ть	падл'и́т'
подлива́ть	падл'ива́т'
подло́г	падло́к
подло́дка	падло́тка
подлови́ть	падлав'и́т'
подложи́ть	падлажы́т'
подлоко́тник	падлако́т'н'ик
подмасте́рье	падмас'т'э́р'jи
подме́на те́зиса	падм'э́на тэ́з'иса
подме́тить	падм'э́т'ит'
подме́шивать	падм'э́шыват'
подмени́ть	падм'ин'и́т'
подменя́ть	падм'ин'а́т'
подмести́	падм'ис'т'и́
подмета́ть	падм'ита́т'
подмеча́ть	падм'ич'а́т'
подмоско́вный	падмаско́вныj
подмя́ть	падм'а́т'
поднажа́ть	паднажа́т'
поднести́	пад'н'ис'т'и́
поднима́ть	пад'н'има́т'
поднима́ться	пад'н'има́ца
подно́жие	падно́жыи
подно́жка	падно́шка
подно́с	падно́с
подного́тная	паднаго́тнаи
подноси́ть	паднас'и́т'
подня́тие	пад'н'а́т'ии
подня́ть	пад'н'а́т'
подня́ться	пад'н'а́ца
подо́бие	падо́б'ии
подо́бно	падо́бна
подо́бный	падо́бныj
подо́л	падо́л
подо́лгу	падо́лгу
подо́нок	падо́нак
подо́пытный	падо́пытныj
подо́шва	падо́шва
подобра́ть	падабра́т'
подобра́ться	падабра́ца
подогна́ть	падагна́т'
подогре́в	падагр'э́ф
подогре́ть	падагр'э́т'
подогрева́ть	падагр'ива́т'
подожда́ть	падажда́т'
подозре́ние	падазр'э́н'ии
подозрева́ть	падазр'ива́т'
подозри́тельно	падазр'и́т'ил'на
подозри́тельность	падазр'и́т'ил'нас'т'
подозри́тельный	падазр'и́т'ил'ныj
подойти́	падаjт'и́
подоко́нник	падако́н'н'ик
подопе́чный	падап'э́ч'ныj
подорва́ть	падарва́т'
подорва́ться	падарва́ца
подоро́жник	падаро́жн'ик
подорожа́ние	падаража́н'ии
подорожа́ть	падаража́т'
подохо́дный	падахо́дныj
подпа́сть	патпа́с'т'
подпада́ть	патпада́т'
подпева́ть	патп'ива́т'
подпи́ска	патп'и́ска
подпи́счик	патп'и́ш':ик
подпи́сывать	патп'и́сыват'
подпи́сываться	патп'и́сываца
подписа́ние	патп'иса́н'ии
подписа́ть	патп'иса́т'
подписа́ться	патп'иса́ца
подписно́й	патп'исно́j
подпо́лье	патпо́л'jи
подпо́льно	патпо́л'на
подпо́льный	патпо́л'ныj
подпо́ртить	патпо́рт'ит'
подполко́вник	патпалко́вн'ик
подпра́вить	патпра́в'ит'
подправля́ть	патправл'а́т'
подпры́гивать	патпры́г'иват'
подпры́гнуть	патпры́гнут'
подпуска́ть	патпуска́т'
подра́мник	падра́мн'ик
подра́ться	падра́ца
подраба́тывать	падраба́тыват'
подрабо́тать	падрабо́тат'
подрабо́тка	падрабо́тка
подража́ние	падража́н'ии
подража́ть	падража́т'
подразде́л	падраз'д'э́л
подразделе́ние	падраз'д'ил'э́н'ии
подраздели́ть	падраз'д'ил'и́т'
подразни́ть	падраз'н'и́т'
подразумева́ть	падразум'ива́т'
подразумева́ться	падразум'ива́ца
подраста́ть	падраста́т'
подре́зать	падр'э́зат'
подре́зов	падр'э́заф
подреза́ть	падр'иза́т'
подрезо́в	падр'изо́ф
подрема́ть	падр'има́т'
подро́бно	падро́бна
подро́бность	падро́бнас'т'
подро́бный	падро́бныj
подро́стковый	падро́сткавыj
подро́сток	падро́стак
подру́га	падру́га
подру́жка	падру́шка
подружи́ть	падружы́т'
подружи́ться	падружы́ца
подры́в	падры́ф
подрыва́ть	падрыва́т'
подрывни́к	падрывн'и́к
подрывно́й	падрывно́j
подря́д	падр'а́т
подря́дчик	падр'а́т'ч'ик
подсади́ть	патсад'и́т'
подсве́тка	патсв'э́тка
подсве́чивать	патсв'э́ч'иват'
подсве́чник	патсв'э́ч'н'ик
подсвети́ть	патсв'ит'и́т'
подсе́сть	патс'э́с'т'
подсеме́йство	патс'им'э́jства
подсисте́ма	патс'ис'т'э́ма
подска́зка	патска́ска
подска́зывать	патска́зыват'
подска́кивать	патска́к'иват'
подсказа́ть	патсказа́т'
подскочи́ть	патскач'и́т'
подсласти́ть	патслас'т'и́т'
подслу́шать	патслу́шат'
подслу́шивать	патслу́шыват'
подсма́тривать	патсма́тр'иват'
подсмотре́ть	патсматр'э́т'
подсо́вывать	патсо́выват'
подсо́лнечник	патсо́лн'ич'н'ик
подсо́лнух	патсо́лнух
подсоедини́ть	патсаид'ин'и́т'
подсоединя́ть	патсаид'ин'а́т'
подсозна́ние	патсазна́н'ии
подсозна́тельно	патсазна́т'ил'на
подсозна́тельный	патсазна́т'ил'ныj
подспо́рье	патспо́р'jи
подспу́дно	патспу́дна
подста́ва	патста́ва
подста́вить	патста́в'ит'
подста́вка	патста́фка
подста́нция	патста́нцыи
подставля́ть	патставл'а́т'
подставно́й	патставно́j
подстегну́ть	патс'т'игну́т'
подстерега́ть	патс'т'ир'ига́т'
подстра́ивать	патстра́иват'
подстра́иваться	патстра́иваца
подстрахо́вка	патстрахо́фка
подстрека́тельство	патстр'ика́т'ил'ства
подстри́чь	патстр'и́ч'
подстри́чься	патстр'и́ч'с'и
подстро́ить	патстро́ит'
подстро́иться	патстро́ица
подступи́ться	патступ'и́ца
подсу́дность	патсу́днас'т'
подсу́нуть	патсу́нут'
подсуди́мый	патсуд'и́мыj
подсчи́тывать	патш':и́тыват'
подсчита́ть	патш':ита́т'
подсчё́т	патш':о́т
подта́лкивать	патта́лк'иват'
подтверди́ть	паттв'ирд'и́т'
подтверди́ться	паттв'ирд'и́ца
подтвержда́ть	паттв'иржда́т'
подтвержда́ться	паттв'иржда́ца
подтвержде́ние	паттв'иржд'э́н'ии
подте́кст	пат'т'э́кст
подтолкну́ть	патталкну́т'
подторма́живать	паттарма́жыват'
подтя́гивать	пат'т'а́г'иват'
подтя́гиваться	пат'т'а́г'иваца
подтя́жка	пат'т'а́шка
подтя́нутый	пат'т'а́нутыj
подтяну́ть	пат'т'ину́т'
подтяну́ться	пат'т'ину́ца
поду́мать	паду́мат'
поду́мывать	паду́мыват'
поду́ть	паду́т'
поду́шка	паду́шка
подура́читься	падура́ч'ица
подхва́тывать	патхва́тыват'
подхвати́ть	патхват'и́т'
подхо́д	патхо́т
подходи́ть	патхад'и́т'
подходя́щий	патхад'а́ш':иj
подцепи́ть	патцып'и́т'
подцепля́ть	патцыпл'а́т'
подча́с	пат'ч'а́с
подчеркну́ть	пат'ч'иркну́т'
подчине́ние	пат'ч'ин'э́н'ии
подчини́ть	пат'ч'ин'и́т'
подчини́ться	пат'ч'ин'и́ца
подчиня́ть	пат'ч'ин'а́т'
подчиня́ться	пат'ч'ин'а́ца
подчинё́нный	пат'ч'ин'о́нныj
подчисту́ю	пат'ч'исту́jу
подчища́ть	пат'ч'иш':а́т'
подчё́ркивание	пат'ч'о́рк'иван'ии
подши́пник	патшы́пн'ик
подшу́чивать	патшу́ч'иват'
подшути́ть	патшут'и́т'
подъе́зд	падjэ́ст
подъе́хать	падjэ́хат'
подъезжа́ть	падjижжа́т'
подъё́м	падjо́м
поды́скивать	пады́ск'иват'
подыгра́ть	падыгра́т'
подыска́ть	падыска́т'
подыто́жить	падыто́жыт'
подыша́ть	падыша́т'
пое́здить	паjэ́з'д'ит'
пое́здка	паjэ́стка
пое́сть	паjэ́с'т'
пое́хать	паjэ́хат'
поеда́ть	паида́т'
поеди́нок	паид'и́нак
пожа́ловать	пажа́лават'
пожа́ловаться	пажа́лаваца
пожа́луй	пажа́луj
пожа́луйста	пажа́луста
пожа́р	пажа́р
пожа́рить	пажа́р'ит'
пожа́рный	пажа́рныj
пожа́ть	пажа́т'
пожале́ть	пажыл'э́т'
поже́ртвование	пажэ́ртваван'ии
поже́ртвовать	пажэ́ртвават'
пожева́ть	пажыва́т'
пожела́ние	пажыла́н'ии
пожела́ть	пажыла́т'
пожени́ть	пажын'и́т'
пожени́ться	пажын'и́ца
пожи́зненно	пажы́з'н'ина
пожи́зненный	пажы́з'н'иныj
пожи́тки	пажы́тк'и
пожи́ть	пажы́т'
поживи́ться	пажыв'и́ца
пожило́й	пажыло́j
пожима́ть	пажыма́т'
пожина́ть	пажына́т'
пожира́ние	пажыра́н'ии
пожира́тель	пажыра́т'ил'
пожира́ть	пажыра́т'
пожра́ть	пажра́т'
пожури́ть	пажур'и́т'
поза́втракать	паза́фтракат'
позаба́вить	пазаба́в'ит'
позабо́титься	пазабо́т'ица
позабы́ть	пазабы́т'
позави́довать	пазав'и́дават'
позавчера́	пазафч'ира́
позагора́ть	пазагара́т'
позади́	пазад'и́
позаи́мствовать	пазаи́мствават'
позанима́ться	пазан'има́ца
позапро́шлый	пазапро́шлыj
позаре́з	пазар'э́с
позва́ть	пазва́т'
позво́лить	пазво́л'ит'
позволи́тельно	пазвал'и́т'ил'на
позволя́ть	пазвал'а́т'
позвони́ть	пазван'и́т'
позвоно́к	пазвано́к
позвоно́чник	пазвано́ч'н'ик
позвоно́чный	пазвано́ч'ныj
поздоро́ваться	паздаро́ваца
поздра́вить	паздра́в'ит'
поздравле́ние	паздравл'э́н'ии
поздравля́ть	паздравл'а́т'
пози́ровать	паз'и́рават'
пози́ция	паз'и́цыи
позити́в	паз'ит'и́ф
позити́вный	паз'ит'и́вныj
позитро́н	паз'итро́н
позицио́нный	паз'ицыо́нныj
позна́ние	пазна́н'ии
позна́ть	пазна́т'
познава́тельный	пазнава́т'ил'ныj
познава́ть	пазнава́т'
познако́мить	пазнако́м'ит'
познако́миться	пазнако́м'ица
позо́р	пазо́р
позо́риться	пазо́р'ица
позо́рище	пазо́р'иш':и
позо́рный	пазо́рныj
позывно́й	пазывно́j
пои́мка	паи́мка
пои́стине	паи́с'т'ин'и
пои́ть	паи́т'
поигра́ть	паигра́т'
поиздева́ться	паиз'д'ива́ца
поинтересова́ться	паин'т'ир'исава́ца
поиска́ть	паиска́т'
поиско́вый	паиско́выj
поискови́к	паискав'и́к
пойма́ть	паjма́т'
пойти́	паjт'и́
пока́	пака́
пока́з	пака́с
пока́зывать	пака́зыват'
пока́зываться	пака́зываца
пока́лывание	пака́лыван'ии
пока́мест	пака́м'ист
пока́чивание	пака́ч'иван'ии
пока́чиваться	пака́ч'иваца
пока́яться	пака́ица
показа́ние	паказа́н'ии
показа́тель	паказа́т'ил'
показа́тельно	паказа́т'ил'на
показа́тельный	паказа́т'ил'ныj
показа́ть	паказа́т'
показа́ться	паказа́ца
показно́й	паказно́j
показу́ха	паказу́ха
покара́ть	пакара́т'
поката́ть	паката́т'
поката́ться	паката́ца
покая́ние	пакаjа́н'ии
покварта́льно	пакварта́л'на
поки́нуть	пак'и́нут'
покида́ть	пак'ида́т'
покле́ить	пакл'э́ит'
покло́н	пакло́н
покло́нник	пакло́н'н'ик
поклоне́ние	паклан'э́н'ии
поклони́ться	паклан'и́ца
поклоня́ться	паклан'а́ца
покля́сться	пакл'а́сца
поко́и	пако́и
