App ID,Title,Reviews Total,Reviews Score Fancy,Release Date,Launch Price,Tags,Steam Page
284160,BeamNG.drive,172194,97%,2015-05-29,"$24,99","Simulation, Driving, Physics, Destruction, Realistic, Automobile Sim, Open World, Sandbox, Racing, Moddable, Singleplayer, Multiplayer, Early Access, First Person, Third Person, Exploration, Funny, Action, Adventure, Flight",https://store.steampowered.com/app/284160
108600,Project Zomboid,165482,94%,2013-11-08,"$19,99","Survival, Zombies, Open World, Open World Survival Craft, Multiplayer, Sandbox, Post apocalyptic, Co op, Crafting, Indie, Simulation, Building, RPG, Survival Horror, Realistic, Isometric, Singleplayer, 2D, Early Access, Adventure",https://store.steampowered.com/app/108600
632360,Risk of Rain 2,162603,96%,2020-08-11,"$24,99","Third Person Shooter, Action Roguelike, Multiplayer, Action, Co op, Roguelite, Looter Shooter, Roguelike, Loot, Online Co Op, Shooter, Difficult, Third Person, Indie, Survival, Singleplayer, Great Soundtrack, Soundtrack, Early Access, Bullet Hell",https://store.steampowered.com/app/632360
319630,Life is Strange - Episode 1,161277,96%,2015-01-29,"$19,99","Story Rich, Choices Matter, Great Soundtrack, Female Protagonist, Time Travel, Atmospheric, Episodic, Singleplayer, Adventure, Time Manipulation, Multiple Endings, Mystery, Third Person, Point & Click, Indie, Walking Simulator, Casual, Action, Memes, LGBTQ+",https://store.steampowered.com/app/319630
107410,Arma 3,154464,91%,2013-09-12,"$29,99","Military, Action, Multiplayer, Simulation, Shooter, Realistic, First Person, Open World, Tactical, FPS, War, Co op, Strategy, Sandbox, Singleplayer, Moddable, Combat, Online Co Op, Team Based, Third Person Shooter",https://store.steampowered.com/app/107410
990080,Hogwarts Legacy,153204,92%,2023-02-10,"$59,99","Magic, Fantasy, Open World, Singleplayer, Adventure, RPG, Character Customization, Exploration, Story Rich, Third Person, Action Adventure, Atmospheric, Action RPG, Action, Combat, Choices Matter, Puzzle, Great Soundtrack, Dark, Family Friendly",https://store.steampowered.com/app/990080
1517290,Battlefield™ 2042,149931,39%,2021-11-19,"$59,99","FPS, Military, Shooter, War, Multiplayer, Action, Combat, Team Based, First Person, PvP, Futuristic, Vehicular Combat, Modern, Destruction, Singleplayer, Physics, Cinematic, Adventure, Hero Shooter, Casual",https://store.steampowered.com/app/1517290
22380,Fallout: New Vegas,145325,96%,2010-10-19,"$9,99","Open World, RPG, Post apocalyptic, Singleplayer, Moddable, Story Rich, Exploration, First Person, Action, Adventure, FPS, Sci fi, Western, Atmospheric, Action RPG, Character Customization, Survival, Sandbox, Shooter, Third Person",https://store.steampowered.com/app/22380
435150,Divinity: Original Sin 2 - Definitive Edition,144135,95%,2017-09-14,"$44,99","Tactical RPG, RPG, Turn Based Strategy, Story Rich, Fantasy, Exploration, CRPG, Party Based RPG, Character Customization, Strategy RPG, PvP, Female Protagonist, Co op Campaign, Local Co Op, Isometric, Choices Matter, Romance, Strategy, Moddable, Funny",https://store.steampowered.com/app/435150
477160,Human: Fall Flat,144013,94%,2016-07-22,"$19,99","Co op, Funny, Puzzle, Adventure, Physics, Sandbox, Action, Puzzle Platformer, Open World, Multiplayer, Local Co Op, Indie, Comedy, Parkour, Local Multiplayer, Casual, Split Screen, 3D Platformer, Singleplayer, Simulation",https://store.steampowered.com/app/477160
294100,RimWorld,138460,98%,2018-10-17,"$34,99","Colony Sim, Base Building, Survival, Strategy, Sandbox, Management, Building, Simulation, Singleplayer, City Builder, Moddable, Open World, Procedural Generation, 2D, Sci fi, Indie, Space, Tactical RPG, Western, Cartoony",https://store.steampowered.com/app/294100
10,Counter-Strike,137421,97%,2000-11-01,"$9,99","Action, FPS, Multiplayer, Shooter, Classic, Team Based, First Person, Competitive, Tactical, 1990s, eSports, PvP, Old School, Military, Strategy, Survival, Score Attack, 1980s, Assassin, Nostalgia",https://store.steampowered.com/app/10
203160,Tomb Raider,137146,96%,2013-03-04,"$14,99","Adventure, Action, Female Protagonist, Third Person, Singleplayer, Story Rich, Third Person Shooter, Multiplayer, Exploration, Action Adventure, Quick Time Events, Atmospheric, Shooter, Puzzle, Stealth, Cinematic, Platformer, RPG, Reboot, 3D Vision",https://store.steampowered.com/app/203160
489830,The Elder Scrolls V: Skyrim Special Edition,134600,94%,2016-10-27,"$39,99","Open World, RPG, Adventure, Singleplayer, Fantasy, Character Customization, Dragons, Moddable, Story Rich, Magic, First Person, Action, Atmospheric, Great Soundtrack, Third Person, Stealth, Classic, Remake, Female Protagonist, Walking Simulator",https://store.steampowered.com/app/489830
427520,Factorio,132891,96%,2020-08-14,"$35,00","Automation, Base Building, Resource Management, Sandbox, Crafting, Strategy, Multiplayer, Survival, Management, Open World, Building, Co op, 2D, Moddable, Singleplayer, Trains, Simulation, Pixel Graphics, City Builder, Indie",https://store.steampowered.com/app/427520
220,Half-Life 2,130902,97%,2004-11-16,"$9,99","FPS, Action, Sci fi, Classic, Singleplayer, Story Rich, Shooter, First Person, Adventure, Dystopian, Atmospheric, Zombies, Silent Protagonist, Physics, Aliens, Great Soundtrack, Horror, Puzzle, Multiplayer, Moddable",https://store.steampowered.com/app/220
552520,Far Cry® 5,128498,80%,2018-03-26,"$59,99","Action Adventure, Open World, FPS, Exploration, Shooter, Realistic, America, Hunting, First Person, 3D, Story Rich, Action, Adventure, Stealth, Co op, Nature, Atmospheric, Survival, Psychedelic, Combat",https://store.steampowered.com/app/552520
812140,Assassin's Creed® Odyssey,126408,89%,2018-10-05,"$59,99","Open World, RPG, Historical, Action, Singleplayer, Assassin, Third Person, Adventure, Multiple Endings, Mythology, Stealth, Story Rich, Female Protagonist, Parkour, Choices Matter, Action RPG, Exploration, Action Adventure, Multiplayer, Choose Your Own Adventure",https://store.steampowered.com/app/812140
268910,Cuphead,125572,96%,2017-09-29,"$19,99","Difficult, Cartoon, Co op, Platformer, Great Soundtrack, Local Co Op, 2D, Hand drawn, Multiplayer, Indie, Retro, Cartoony, Bullet Hell, Action, Shoot Em Up, Singleplayer, Side Scroller, Colorful, Funny, Atmospheric",https://store.steampowered.com/app/268910
1326470,Sons Of The Forest,124373,83%,2023-02-23,"$29,99","Survival, Open World, Multiplayer, Survival Horror, Co op, Base Building, Crafting, Horror, First Person, Exploration, Adventure, Building, Singleplayer, Atmospheric, Action Adventure, Sandbox, Action, Simulation, Early Access, Immersive Sim",https://store.steampowered.com/app/1326470
1551360,Forza Horizon 5,120481,88%,2021-11-08,"$59,99","Racing, Open World, Driving, Multiplayer, Automobile Sim, Adventure, Realistic, Simulation, Exploration, Arcade, First Person, Atmospheric, Sports, Co op, PvP, Online Co Op, Singleplayer, Beautiful, Action, Third Person",https://store.steampowered.com/app/1551360
48700,Mount & Blade: Warband,119491,97%,2010-03-31,"$19,99","Medieval, RPG, Open World, Strategy, Sandbox, Multiplayer, Action, Moddable, Military, Adventure, Horses, Singleplayer, Realistic, First Person, Historical, Third Person, Simulation, Hack and Slash, Fantasy, Indie",https://store.steampowered.com/app/48700
526870,Satisfactory,117921,97%,2020-06-08,"$29,99","Base Building, Automation, Open World, Multiplayer, Crafting, Co op, Resource Management, Building, Sandbox, Exploration, Adventure, Early Access, Open World Survival Craft, Simulation, Survival, Strategy, First Person, Sci fi, Singleplayer, Indie",https://store.steampowered.com/app/526870
8930,Sid Meier's Civilization® V,117336,96%,2010-09-21,"$29,99","Turn Based Strategy, Strategy, Turn Based, Multiplayer, Historical, 4X, Addictive, Singleplayer, Hex Grid, Grand Strategy, Replay Value, Co op, Tactical, Economy, Diplomacy, Moddable, Simulation, Classic, Great Soundtrack, Touch Friendly",https://store.steampowered.com/app/8930
588650,Dead Cells,116513,97%,2018-08-06,"$24,99","Adventure, Action Roguelike, Pixel Graphics, Metroidvania, 2D, Souls like, Roguelike, Replay Value, Hack and Slash, Roguelite, Platformer, Singleplayer, Roguevania, Action, Difficult, Atmospheric, Dark Fantasy, Procedural Generation, Funny, Indie",https://store.steampowered.com/app/588650
400,Portal,115384,98%,2007-10-10,"$9,99","Puzzle, Puzzle Platformer, First Person, 3D Platformer, Singleplayer, Sci fi, Comedy, Female Protagonist, Funny, Physics, Action, Story Rich, Classic, Platformer, Science, Atmospheric, FPS, Dark Humor, Short, Adventure",https://store.steampowered.com/app/400
646570,Slay the Spire,115269,97%,2019-01-23,"$24,99","Roguelike Deckbuilder, Card Game, Card Battler, Roguelike, Deckbuilding, Turn Based, Strategy, Singleplayer, Roguelite, Replay Value, Indie, Difficult, Dungeon Crawler, RPG, Mouse only, Great Soundtrack, 2D, Procedural Generation, Fantasy, Casual",https://store.steampowered.com/app/646570
1832640,Mirror 2: Project X,113217,25%,2022-01-20,"$1,99","3D, Match 3, Anime, Female Protagonist, Drama, Visual Novel, Interactive Fiction, Singleplayer, Multiple Endings, RPG, FPS, Casual, Colorful, Story Rich, FMV, Adventure, Early Access, Indie, 3D Platformer, Shooter",https://store.steampowered.com/app/1832640
813780,Age of Empires II: Definitive Edition,112769,94%,2019-11-14,"$19,99","Strategy, RTS, City Builder, Multiplayer, Base Building, Historical, Medieval, Singleplayer, Resource Management, Classic, Tactical, Real Time, Remake, Co op, Isometric, Replay Value, 2D, Action, Adventure, Great Soundtrack",https://store.steampowered.com/app/813780
306130,The Elder Scrolls® Online,112728,83%,2014-04-04,"$59,99","RPG, MMORPG, Open World, Adventure, Fantasy, Exploration, Multiplayer, Singleplayer, Massively Multiplayer, Action, PvP, Character Customization, PvE, Lore Rich, Choose Your Own Adventure, Story Rich, Magic, Class Based, Action RPG, Atmospheric",https://store.steampowered.com/app/306130
1426210,It Takes Two,112337,95%,2021-03-25,"$39,99","Co op, Multiplayer, Split Screen, Local Co Op, Puzzle, Adventure, Online Co Op, Story Rich, Local Multiplayer, Co op Campaign, Puzzle Platformer, 3D Platformer, Action Adventure, Platformer, Emotional, Action, Atmospheric, Exploration, Female Protagonist, Minigames",https://store.steampowered.com/app/1426210
1172380,STAR WARS Jedi: Fallen Order™,111532,89%,2019-11-14,"$59,99","Action Adventure, Third Person, Souls like, Swordplay, Story Rich, Open World, Exploration, Platformer, Action, Sci fi, Space, RPG, Metroidvania, Fighting, Puzzle, Adventure, Fantasy, Hack and Slash, Atmospheric, Family Friendly",https://store.steampowered.com/app/1172380
262060,Darkest Dungeon®,110235,91%,2016-01-19,"$24,99","Turn Based Combat, Dark Fantasy, Dungeon Crawler, Roguelike, RPG, Lovecraftian, Difficult, Turn Based, Singleplayer, Perma Death, Strategy, Atmospheric, Dark, Indie, 2D, Roguelite, Horror, Gothic, Fantasy, Kickstarter",https://store.steampowered.com/app/262060
1332010,Stray,109121,97%,2022-07-19,"$29,99","Cats, Adventure, Cyberpunk, Atmospheric, Cute, Singleplayer, Exploration, Robots, Third Person, Beautiful, Puzzle, Horror, Sci fi, Indie, Dystopian, Open World, Mystery, Colorful, Action, Stealth",https://store.steampowered.com/app/1332010
281990,Stellaris,106838,88%,2016-05-09,"$39,99","Space, Grand Strategy, Strategy, Sci fi, 4X, Exploration, Sandbox, Simulation, Multiplayer, Real Time with Pause, Moddable, Singleplayer, Diplomacy, Management, Futuristic, Military, Replay Value, Atmospheric, Great Soundtrack, Procedural Generation",https://store.steampowered.com/app/281990
1811260,EA SPORTS™ FIFA 23,106453,54%,2022-09-29,"$69,99","Football (Soccer), Sports, Controller, eSports, PvP, Management, Simulation, Team Based, Third Person, Realistic, Immersive Sim, Multiplayer, Local Multiplayer, Local Co Op, Co op, Online Co Op, Singleplayer, PvE, Free to Play, LGBTQ+",https://store.steampowered.com/app/1811260
